Timestamp,Used Memory (KB),Used Swap (KB)
2024-09-23 15:54:38,5374888,0
2024-09-23 15:54:40,5369976,0
2024-09-23 15:54:42,5364776,0
2024-09-23 15:54:44,5378952,0
2024-09-23 15:54:46,5357952,0
2024-09-23 15:54:48,5357508,0
2024-09-23 15:54:50,5377868,0
2024-09-23 15:54:52,5360012,0
2024-09-23 15:54:54,5339328,0
2024-09-23 15:54:56,5334720,0
2024-09-23 15:54:58,5317776,0
2024-09-23 15:55:00,5358360,0
2024-09-23 15:55:02,5348784,0
2024-09-23 15:55:04,5335068,0
2024-09-23 15:55:06,5344872,0
2024-09-23 15:55:09,5341108,0
2024-09-23 15:55:11,5369444,0
2024-09-23 15:55:13,5363000,0
2024-09-23 15:55:15,5353728,0
2024-09-23 15:55:17,5357128,0
2024-09-23 15:55:19,5356648,0
2024-09-23 15:55:21,5357356,0
2024-09-23 15:55:23,5348520,0
2024-09-23 15:55:25,5373056,0
2024-09-23 15:55:27,5396812,0
2024-09-23 15:55:29,5423472,0
2024-09-23 15:55:31,5432904,0
2024-09-23 15:55:33,5461788,0
2024-09-23 15:55:35,5460632,0
2024-09-23 15:55:37,5448276,0
